"","cell_ID","T_reg","mono-mac","T_CD8","tumour_2","tumour_1","T_CD4","plasma","pDC","mDC","myeloid"
"1","0",0,0,0,0.305348815287875,0.694651184712125,0,0,0,0,0
"2","1",0,0.462778350613589,0,0,0.537221649386411,0,0,0,0,0
"3","2",0,0,0,0,1,0,0,0,0,0
"4","3",0,0.873990563729991,0,0,0,0,0,0,0.126009436270009,0
"5","4",0,0,0,1,0,0,0,0,0,0
"6","5",0,0,0,0.675523426655673,0,0,0,0,0.324476573344327,0
"7","6",0,0,0,0.217069897413407,0.782930102586593,0,0,0,0,0
"8","7",0,0,0.999993503677141,0,0,0,0,0,0,6.49632285846293e-06
"9","8",0,1,0,0,0,0,0,0,0,0
"10","9",0,0,0,0.118380120548256,0.632022403977171,0,0,0,0,0.249597475474574
"11","10",0,0,0,0,1,0,0,0,0,0
"12","11",0,1,0,0,0,0,0,0,0,0
"13","12",0,0,0,0.432943724269513,0,0,0,0.235081727367733,0.331974548362754,0
"14","13",0,0,0,1,0,0,0,0,0,0
"15","14",0,0,0,1,0,0,0,0,0,0
"16","15",0,0,-1.55414970197961e-18,0,0,0,0,0,1,0
"17","16",0,0.190271070013429,0,0,0,0,0,0,0.156854430686563,0.652874499300008
"18","17",0,0,0,0.67146121621907,0,0,0,0.32853878378093,0,0
"19","18",0,0,0,0,0.87682524824657,0,0,0.12317475175343,0,0
"20","19",0,0,0.996195053431366,0,0,0,0,0,0,0.00380494656863434
"21","20",0,0,0,0.210930563543688,0.789069436456311,0,0,0,0,0
"22","21",0,0.488148012607507,0,0,0,0,0,0.511851987392494,0,0
"23","22",0,0,7.52236591716006e-18,0,1,0,0,0,0,0
"24","23",0,0,0,0,1,0,0,0,0,0
"25","24",0,0,0,0.801393070095148,0,0.0817384369484272,0,0,0,0.116868492956425
"26","25",0,0,1,0,0,0,0,0,0,0
"27","26",0,0,0,0.864241474913702,0,0,0,0,0.135758525086298,0
"28","27",0,0,0,1,0,0,0,0,0,0
"29","28",0,0,0,0.63419840858802,0,0,0,0,0.36580159141198,0
"30","29",0,0.22967145765017,0,0.159835280696842,0.610493261652988,0,0,0,0,0
"31","30",0,0,0.728140778545062,0,0,0.079177383637816,0,0,0,0.192681837817122
"32","31",0,0.357262450362141,0,0,0.642737549637859,0,0,0,0,0
"33","32",0,0.50873789610258,0,0.120395311287066,0.370866792610354,0,0,0,0,0
"34","33",0,1,0,0,0,0,0,0,0,0
"35","34",0,0,0,0,0.823732555611771,0,0,0,0.176267444388229,0
"36","35",0,0,0,0,0.703142372575704,0,0,0,0.296857627424296,0
"37","36",0,0,0,0,0,0,1,0,0,0
"38","37",0,0,0.114260695008289,0.885739304991711,0,0,0,0,0,0
"39","38",0,0,0.254411602767271,0,0,0.514124214972373,0,0,0,0.231464182260356
"40","39",0,0,0,0.769956608521784,0,0,0,0,0.230043391478216,0
"41","40",0,0,0.63164673663038,0,0,0.36835326336962,0,0,0,0
"42","41",0,0,1,0,0,0,0,0,0,0
"43","42",0.267724283395665,0,0,0.345847709719289,0,0,0,0,0,0.386428006885046
"44","43",0,0,0.648995510694794,0,0,0,0,0,0.351004489305206,0
"45","44",0.146512102663738,0,0,0.447208038139279,0,0,0,0.152768912271293,0,0.253510946925691
"46","45",0,0.820674174090583,0,0,0,0,0,0,0.179325825909417,0
"47","46",0.269310490787865,0.365813550430956,0.208226151409199,0,0,0,0,0,0,0.15664980737198
"48","47",0,0,0.948537442771994,0,0,0,0,0,0,0.0514625572280056
"49","48",0,0,0,0,0,0,1,0,0,0
"50","49",0.503250019720165,0.24340204791456,0.253347932365275,0,0,0,0,0,0,0
"51","50",0,1,0,0,0,0,0,0,0,0
"52","51",0,0,0,0,1,0,0,0,0,0
"53","52",0,0,0,0,0,0,1,0,0,0
"54","53",0,0,0,0,0,0,0,0,1,0
"55","54",0,0,0,0,0,0,0,0,0,1
"56","55",0,1,0,0,0,0,0,0,0,0
"57","56",0,1,0,0,0,0,0,0,0,0
"58","57",0.421019732787204,0,0.324098812611768,0,0,0.254881454601027,0,0,0,0
"59","58",0,0,0,1,0,0,0,0,0,0
"60","59",0,0,0,1,0,0,0,0,0,0
"61","60",0,0.426039175514308,0,0.398087258075336,0,0,0,0,0.175873566410356,0
"62","61",0,0,0.621521611588785,0,0,0,0,0,0.378478388411215,0
"63","62",0,0,0,0,0,0,0,0,0.383860944399907,0.616139055600093
"64","63",0,0,0.78009876708814,0,0.219901232911861,0,0,0,0,0
"65","64",0,0.172878889852715,0,0,0.827121110147285,0,0,0,0,0
"66","65",0,0,0,0,1,0,0,0,0,0
"67","66",0,1,0,0,0,0,0,0,0,0
"68","67",0,0.153656045592111,0,0,0.593954525774908,0,0.252389428632982,0,0,0
"69","68",0,0,0,0,1,0,0,0,0,0
"70","69",0,0,1,0,0,0,0,0,0,0
"71","70",0,0,0,0,0,0,1,0,0,0
"72","71",0,1,0,0,0,0,0,0,0,0
"73","72",0,0,0,0,0.231027066153905,0,0.768972933846095,0,0,0
"74","73",0,0,0,0.59063895269767,0,0,0,0,0.40936104730233,0
"75","74",0.237962465608379,0,0.507669002418322,0,0,0,0,0,0,0.2543685319733
"76","75",0.116326905891078,0,0.187303204882883,0,0,0.549885775361726,0,0,0,0.146484113864314
"77","76",0,0,0,1,0,0,0,0,0,0
"78","77",0,0.583916957331242,0,0.416083042668758,0,0,0,0,0,0
"79","78",0,0,0,1,0,0,0,0,0,0
"80","79",0,0,0,0.821064929130698,0,0,0,0,0.178935070869302,0
"81","80",0,0,0,0.82148911908958,0,0,0,0,0.17851088091042,0
"82","81",0,0.130046030553919,0,0.75206141494754,0,0,0,0,0.117892554498541,0
"83","82",0,0,0.246791653208816,0.390745746652278,0,0,0.362462600138906,0,0,0
"84","83",0,0,0,0,0,1,0,0,0,0
"85","84",0,0.89420770717703,0,0,0.10579229282297,0,0,0,0,0
"86","85",0,0.599686069878119,0,0.109934921007511,0.29037900911437,0,0,0,0,0
"87","86",0,0.232549212476566,0,0,0.767450787523434,0,0,0,0,0
"88","87",0,0,0,0,1,0,0,0,0,0
"89","88",0,0.177598516555274,0,0,0.822401483444726,0,0,0,0,0
"90","89",0,0.478174721233855,0,0,0.521825278766145,0,0,0,0,0
"91","90",0,0,0,0,0,0,0,0,0,1
"92","91",0.414065782904467,0,0,0,0,0.263310621271664,0,0,0,0.322623595823868
"93","92",0,0,0,0,0,0,1,0,0,0
"94","93",0,0,0.110763223245665,0,0,0.515130318934842,0.151645813263423,0,0,0.22246064455607
"95","94",0,0.450697778869564,0,0.549302221130436,0,0,0,0,0,0
