"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0,0.411116108882853,0,0,0,0,0,0,0,0.404151594773694,0.184732296343453,0
"2","1",0,0,0,0,0,0,0,0,0.31680163265467,0,0.68319836734533,0
"3","2",0.329601436318118,0.281019148445637,0,0,0,0,0,0,0,0.215133903372689,0.174245511863556,0
"4","3",0.281902801428932,0,0,0,0,0,0,0,0,0.718097198571068,0,0
"5","4",1,0,0,0,0,0,0,0,0,0,0,0
"6","5",0.298711502855453,0.434800671486253,0,0,0,0,0,0,0,0.209990620267386,0.0564972053909078,0
"7","6",0.422051311983934,0,0,0,0,0,0,0,0,0,0.577948688016066,0
"8","7",0.53743511574109,0,0.46256488425891,0,0,0,0,0,0,0,0,0
"9","8",0,0,0,0,0,0,0,0,0.209567597617932,0,0.790432402382068,0
"10","9",0,0,0,0,0,0,0,0,0.427039069978508,0.147602674889227,0.425358255132265,0
"11","10",0,0,0.667834090932123,0,0,0,0,0,0,0.14371866441523,0.188447244652647,0
"12","11",0.761212684036502,0,0,0,0,0,0,0,0,0,0.238787315963498,0
"13","12",0.644855556416845,0,0,0,0,0,0,0,0,0,0.355144443583155,0
"14","13",0,0.0352349776094108,0,0,0,0,0,0,0,0.757308076256108,0.207456946134482,0
"15","14",1,0,0,0,0,0,0,0,0,0,0,0
"16","15",1,0,0,0,0,0,0,0,0,0,0,0
"17","16",0.248826514625735,0,0,0,0,0,0,0,0,0,0.751173485374265,0
"18","17",0.380239842926629,0,0,0,0,0,0,0,0,0.386310951647943,0.233449205425427,0
"19","18",1,0,0,0,0,0,0,0,0,0,0,0
"20","19",1,0,0,0,0,0,0,0,0,0,0,0
"21","20",0.20854444072526,0,0.26709154407992,0,0,0,0,0,0.46362882937903,0,0.0607351858157906,0
"22","21",0,0,0.325668104102388,0,0,0,0,0,0,0.674331895897612,0,0
"23","22",0,0,0,0,0,0,0,0,0,0.608108164182236,0.391891835817764,0
"24","23",0.533251374169669,0,0,0,0,0,0,0,0,0.466748625830331,0,0
"25","24",0.437593978324223,0,0,0,0,0,0,0,0,0.267371731910428,0.29503428976535,0
"26","25",1,0,0,0,0,0,0,0,0,0,0,0
"27","26",0.393465549097497,0,0,0,0,0,0,0,0,0,0.606534450902503,0
"28","27",0,0,0,0,0,0,0,0,0.0955398541433393,0.904460145856661,0,0
"29","28",0.762410868553645,0,0,0,0,0,0,0,0,0,0.237589131446355,0
"30","29",0,0,0,0,0,0,0,0,0,0.614430606789712,0.385569393210288,0
"31","30",0,0,1,0,0,0,0,0,0,0,0,0
"32","31",0.240861124640833,0,0,0,0,0,0,0,0,0.277256102957209,0.481882772401958,0
"33","32",0,0.247923570584294,0.28553618440337,0,0,0,0,0,0,0.302951647318076,0.163588597694259,0
"34","33",0.650270109574652,0,0,0,0,0,0,0,0,0,0.349729890425348,0
"35","34",0.156075495794629,0.297556846382263,0,0,0,0,0,0,0,0,0.546367657823109,0
"36","35",0,0,0.535283683106339,0,0,0,0,0,0,0.304272955795955,0.160443361097706,0
"37","36",0,0,0,0,0,0,0,0,0.610448041835465,0,0.389551958164535,0
"38","37",0.399401582340417,0,0,0,0,0,0,0,0,0,0.600598417659583,0
"39","38",0.277386110426014,0.419821030636763,0,0,0,0,0,0,0,0,0.302792858937223,0
"40","39",0.307793543674625,0,0,0,0,0,0,0,0,0,0.692206456325375,0
"41","40",1,0,0,0,0,0,0,0,0,0,0,0
"42","41",0,0,1,0,0,0,0,0,0,0,0,0
"43","42",0.732803848673525,0,0,0,0,0,0,0,0,0.0688957735713518,0.198300377755123,0
"44","43",0.21487169560204,0,0,0,0,0,0,0,0.618483382822098,0.166644921575862,0,0
"45","44",1,0,0,0,0,0,0,0,0,0,0,0
"46","45",0.256534353600908,0,0,0,0,0,0,0,0,0,0.743465646399092,0
"47","46",0.8815505809821,0,0,0,0,0,0,0,0,0,0.1184494190179,0
"48","47",1,0,0,0,0,0,0,0,0,0,0,0
"49","48",1,0,0,0,0,0,0,0,0,0,0,0
