"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Adipocyte","Myeloid","Mural cell","Neural cell","Endothelial cell","Lymphoid","Mast cell","Atrial Cardiomyocyte","Mesothelial cell","Lymphatic Endothelial cell"
"1","0",0,0,0,0,0.391357421364368,0,0,0,0,0,0.608642578635632,0
"2","1",0,0,0,0,0.313267244214143,0,0,0,0.686732755785857,0,0,0
"3","2",0,0,0,0,0.275676987479201,0,0,0,0,0,0.724323012520799,0
"4","3",0,0,0,0,0,0,0,0,0,0,1,0
"5","4",0,0,0,0,0,0,0,0,0,0,1,0
"6","5",0,0,0,0,0.439976950789415,0,0,0,0,0,0.560023049210585,0
"7","6",0,0,0,0,0.288711762341029,0,0,0,0.711288237658971,0,0,0
"8","7",0,0,0,0,0,0,0,0,0.14712023117821,0,0.85287976882179,0
"9","8",0,0,0,0,0.807501579476632,0,0,0,0.192498420523368,0,0,0
"10","9",0,0,0,0,0,0,0,0,0,0,1,0
"11","10",0,0.133099486152174,0,0,0.651850863146813,0,0,0,0.215049650701013,0,0,0
"12","11",0,0,0,0,0,0,0,0,0,0,1,0
"13","12",0.0972719360906647,0,0,0.115759919778996,0,0,0,0,0.786968144130339,0,0,0
"14","13",0,0,0,0,0,0,0,0,0,0,1,0
"15","14",0,0,0,0,0.802628143621719,0,0,0,0.197371856378281,0,0,0
"16","15",0,0,0,0,0.187821238227107,0,0,0,0.308844734224626,0,0.503334027548267,0
"17","16",0,0,0,0,0.526831821647213,0,0,0,0,0,0.473168178352787,0
"18","17",0,0.148684745748383,0,0,0.520731403238085,0,0,0,0.330583851013532,0,0,0
"19","18",0,0,0,0,0.152185333891183,0,0,0,0,0,0.847814666108817,0
"20","19",0,0,0,0,0,0,0,0,0,0,1,0
"21","20",0,0,0,0,1,0,0,0,0,0,0,0
"22","21",0,0,0,0,0.456114899722289,0,0,0,0,0,0.543885100277711,0
"23","22",0,0,0,0,1,0,0,0,0,0,0,0
"24","23",0,0,0,0,0,0,0,0,0.244491533151195,0,0.755508466848805,0
"25","24",0,0,0,0,0.0964328662483915,0,0,0,0.212863982194062,0,0.690703151557546,0
"26","25",0,0,0,0,0.593454235548292,0,0,0,0.406545764451708,0,0,0
"27","26",0,0,0,0,0,0,0,0,0.399360928498947,0,0.600639071501053,0
"28","27",0,0,0,0,0.434630759169479,0,0,0,0,0,0.565369240830521,0
"29","28",0,0,0,0,0.409699629426184,0,0,0,0.590300370573816,0,0,0
"30","29",0,0,0,0,0,0,0,0,0,0,1,0
"31","30",0.56825891557673,0,0,0,0.43174108442327,0,0,0,0,0,0,0
"32","31",0,0,0,0,0.631910225391585,0,0.167506926993565,0,0.20058284761485,0,0,0
"33","32",0,0,0,0,0.752189122569091,0,0,0,0.247810877430909,0,0,0
"34","33",0,0,0,0,0,0,0,0,0,0,1,0
"35","34",0,0,0,0,1,0,0,0,0,0,0,0
"36","35",0,0,0,0,0.299948703343842,0,0,0,0,0,0.700051296656158,0
"37","36",0,0,0,0,0.428303379748722,0,0.137009565376409,0,0,0,0.434687054874869,0
"38","37",0,0,0,0,0.803793866946844,0,0,0,0.196206133053156,0,0,0
