"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0.162919661852512,0.320911423760088,0.181550409377443,0,0,0,0.216848756474275,0,0,0,0.117769748535682,0
"2","1",0,0.428216252904545,0,0,0,0,0.19340449287885,0,0,0,0.14968182221756,0.228697431999046
"3","2",0.21691058654241,0.0930741970402056,0,0,0,0.335516504492739,0,0,0,0.1820884313942,0.172410280530447,0
"4","3",0.682607454989317,0,0,0,0,0,0,0,0,0,0.0485987896140367,0.268793755396646
"5","4",1,0,0,0,0,0,0,0,0,0,0,0
"6","5",0,0.346536290276868,0,0.177705016311,0,0.475758693412132,0,0,0,0,0,0
"7","6",0,0.21070911144812,0.239824640006634,0,0.16040610683364,0.197170693838089,0,0,0,0.191889447873517,0,0
"8","7",0.224780281440008,0.310910088709729,0,0,0,0,0.217683418699069,0,0,0.0980598644672135,0.14856634668398,0
"9","8",0,0.321377788004414,0,0.338075088399592,0,0,0,0,0,0,0.139607941924479,0.200939181671515
"10","9",0.514995418549071,0.383038236342413,0,0,0,0,0,0,0,0,0.101966345108515,0
"11","10",0.150752902462052,0.33438646048505,0,0.275228949535026,0,0,0,0,0,0.11248576723706,0.127145920280812,0
"12","11",0.151533266880666,0.648834178186979,0,0,0,0,0,0,0,0.133722195129773,0.0659103598025826,0
"13","12",0.345556166573777,0.418045087338199,0,0,0,0.236398746088024,0,0,0,0,0,0
"14","13",0,0.188655297090425,0,0.355522605439736,0,0,0.255541078823599,0,0,0.042938586006041,0.157342432640199,0
"15","14",0.271444839394776,0.560388417441247,0,0,0,0,0,0,0,0,0.168166743163977,0
"16","15",0,0.255045292388118,0.205208180905954,0,0,0,0.227261500828057,0,0,0,0,0.31248502587787
"17","16",0.316161408090591,0.253310525956501,0,0,0,0.195076076219673,0,0,0,0,0.101779759100641,0.133672230632594
"18","17",0,0.00275840646664981,0,0,0,0,0,0,0.114068265816817,0.423672178395484,0.33156441648507,0.12793673283598
"19","18",0.357074113014548,0.0302512623071905,0,0,0,0.2740774771154,0,0,0,0.151595179657237,0.187001967905625,0
"20","19",0,0.238439579554083,0.240612842793825,0,0,0.231489233283958,0,0,0.187214401408228,0,0.102243942959906,0
