"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0.214215425305385,0,0,0.190759153607501,0,0,0,0,0,0.217384858392889,0.192383354247119,0.185257208447107
"2","1",0.853624417337616,0,0,0,0,0,0,0,0,0.119265505140505,0.0271100775218783,0
"3","2",0.175040747062442,0.370561091139466,0.158083866264214,0,0,0,0,0,0,0,0.296314295533879,0
"4","3",0,0.378221010400789,0,0,0,0,0,0,0,0.209702985384304,0.236121218493295,0.175954785721612
"5","4",0.258830746078262,0,0,0,0,0.266143605006191,0,0,0,0.210791982768408,0.264233666147139,0
"6","5",0.632083027011413,0,0,0,0,0,0,0,0,0,0.212955191150131,0.154961781838456
"7","6",1,0,0,0,0,0,0,0,0,0,0,0
"8","7",0,0.139268080575919,0,0,0,0.290648309520789,0,0,0,0.347684988291304,0.222398621611988,0
"9","8",0.1524365437714,0.263748039305544,0,0,0,0,0,0,0,0.225554528701924,0.358260888221133,0
"10","9",0,0.213757393520204,0,0.345822353885903,0,0,0.168969435539833,0,0,0.0549755134848792,0.216475303569181,0
"11","10",0.684789527412394,0,0,0,0,0,0,0,0,0,0.315210472587606,0
"12","11",0,0.257232120606091,0,0.263216062619217,0,0,0,0,0.2029667047704,0,0.276585112004292,0
"13","12",0.317623048418818,0.090404057078353,0,0,0,0,0,0,0,0.480234787501568,0.111738107001261,0
"14","13",0.326844775117189,0.541303401472034,0,0,0,0,0,0,0,0.0790157261409917,0.052836097269786,0
"15","14",0,0.222131829623256,0.130804389134546,0,0,0.140326132776992,0,0,0,0.225442387298792,0.281295261166414,0
"16","15",0,0.284618824710854,0,0.465218834845514,0,0,0,0,0,0.0766870553031317,0.173475285140501,0
"17","16",0.255095236193022,0,0,0,0,0,0,0,0,0.372808401179679,0.3720963626273,0
"18","17",0.393320587709775,0.224730512273393,0,0,0,0,0,0,0,0,0.180419970131473,0.201528929885359
"19","18",0,0,0.138800971461177,0,0,0.138753952222876,0,0,0.194942195035778,0.319199809600885,0.208303071679284,0
"20","19",0,0,0,0,0,0,0,0,0,0.509038985652817,0.490961014347183,0
"21","20",0.330792585093867,0,0.156968938713207,0,0,0,0,0,0.11762851345792,0.156291016456986,0.23831894627802,0
"22","21",0,0.382751338262387,0,0,0,0.225781625076174,0,0,0,0.241543228133579,0.14992380852786,0
"23","22",0.175186943881824,0.610662235945754,0,0,0,0,0,0,0,0.214150820172422,0,0
"24","23",0.708323172444559,0,0,0,0,0,0,0,0,0,0.291676827555441,0
"25","24",0,0.0579617521815447,0,0,0,0,0.42395612277062,0,0,0.357443300209935,0.1606388248379,0
"26","25",0.262237808283362,0.526181072228907,0,0,0,0,0,0,0,0,0.211581119487731,0
"27","26",0,0.519043773787115,0,0,0,0,0,0,0,0.258327763717656,0.107321031579961,0.115307430915267
"28","27",0.289567885672068,0,0,0,0,0,0.406163556301601,0,0,0,0.304268558026331,0
