"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Adipocyte","Myeloid","Mural cell","Neural cell","Endothelial cell","Lymphoid","Mast cell","Atrial Cardiomyocyte","Mesothelial cell","Lymphatic Endothelial cell"
"1","0",0.351779152360827,0,0,0,0,0,0.251513859192295,0,0,0,0.396706988446878,0
"2","1",0.437494500168962,0,0,0,0,0,0,0,0,0,0.562505499831038,0
"3","2",0.30467446283156,0,0,0,0,0,0,0,0,0,0.275091790798678,0.420233746369762
"4","3",0.443307803836799,0,0,0,0,0,0,0,0,0,0.32146059856982,0.235231597593381
"5","4",0.514058020211307,0.156997169942671,0,0,0,0,0,0,0,0,0.328944809846022,0
"6","5",0,0.209116030888864,0,0,0,0.186866274412178,0.273279847921364,0,0,0,0,0.330737846777594
"7","6",0.209614688631235,0,0,0.261928367987277,0,0,0,0.106257291060437,0,0,0.194224796937783,0.227974855383269
"8","7",0,0,0,0.205969249121042,0.176698378743616,0.174978505037231,0.259478881667615,0.182874985430496,0,0,0,0
"9","8",0,0,0,0,0,0,0.433114784965399,0,0,0,0.405957878201255,0.160927336833346
"10","9",0.422141207319968,0,0,0,0.191726465269406,0,0,0,0,0,0.386132327410627,0
"11","10",0.337896752739684,0,0,0,0,0.306253791815168,0,0,0,0,0.355849455445148,0
"12","11",0.395105576523568,0.4058051982344,0,0,0,0,0,0.199089225242032,0,0,0,0
"13","12",0.36841163170078,0,0,0.163502700176667,0,0,0,0,0,0,0.22669550522057,0.241390162901983
"14","13",0,0,0,0,0.25996023337716,0.292679864772212,0.257586366874644,0.189773534975983,0,0,0,0
"15","14",0,0,0,0.322334373718464,0,0,0.227615691052226,0.235565063159162,0,0,0.214484872070149,0
"16","15",0.19321664227895,0,0,0.351305217426294,0,0,0,0,0,0,0.455478140294756,0
"17","16",0,0,0,0,0,0,0,0,0,0,0.737360437460384,0.262639562539616
"18","17",0.326772915067701,0.333681118876515,0,0,0,0,0,0,0,0,0.339545966055784,0
"19","18",0.313494389051682,0,0,0.471015472780922,0,0,0,0,0,0,0,0.215490138167396
"20","19",0,0,0,0.285849565809756,0.186979637091581,0,0,0,0,0,0.182556156438283,0.34461464066038
"21","20",0.204214442267958,0.156259490191139,0,0,0,0.29054851326244,0,0,0,0,0.348977554278463,0
"22","21",0,0.196104183630446,0,0.12570913409354,0.118474054771176,0.125560634274869,0,0,0,0,0,0.434151993229969
"23","22",0,0.193557079798457,0,0.190022239856236,0.185060155738107,0.189609519325313,0.241751005281887,0,0,0,0,0
"24","23",0,0.144212975754001,0,0.282228785618993,0,0.190384988320877,0,0,0,0,0.383173250306129,0
"25","24",0.377282157167927,0.317350807421924,0,0,0.164387767432186,0,0.140979267977964,0,0,0,0,0
"26","25",0.293843955674921,0,0,0,0,0,0.228959331310735,0,0,0,0.477196713014345,0
"27","26",0.440524441629978,0,0,0.292947519551912,0,0,0,0,0,0,0,0.266528038818111
"28","27",0,0.160594242386272,0,0.324760352743834,0,0.254880043477707,0.133838345918,0,0.125927015474187,0,0,0
"29","28",0.325639977736187,0,0,0.277523110457338,0,0,0.250186906698851,0,0,0,0,0.146650005107624
"30","29",0.516944677095093,0,0,0,0,0,0,0,0,0,0.483055322904907,0
