"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0,0,0,0,0,0,1,0,0,0,0,0
"2","1",0,0,0,0,0,0,0,0,0.919555816540125,0,0.0804441834598756,0
"3","2",0,0,0,0,0,0,0,0,0,0,0,1
"4","3",0,0,0.433477157088782,0,0,0,0,0,0,0,0,0.566522842911218
"5","4",0,0,0.414519080913098,0,0,0,0,0,0,0,0,0.585480919086902
"6","5",0,0,0,0,0,0,0.67709678882844,0,0,0,0,0.32290321117156
"7","6",0,0.139290498747215,0,0,0,0.106218372480595,0,0,0.414813136820783,0,0.163801768366071,0.175876223585335
"8","7",0,0.249620694702185,0,0,0,0,0,0,0,0.235004254289204,0.0461367652827958,0.469238285725815
"9","8",0,0,0,0,0,0,1,0,0,0,0,0
"10","9",0,0,0,0,0,0,0,0,0.374182995331662,0,0,0.625817004668338
"11","10",0.312747856572217,0,0,0,0,0,0.687252143427783,0,0,0,6.20052831374148e-19,0
"12","11",0,0,0.577940172187506,0,0,0,0,0,0,0,0,0.422059827812494
"13","12",0,0,0.389143895184422,0,0,0,0,0,0.610856104815578,0,0,0
"14","13",0,0,0.469236406461621,0,0,0,0,0,0.17232094227252,0,0,0.358442651265859
"15","14",0,0,0,0,0.271959749747721,0,0.383083326222951,0,0.344956924029328,0,0,0
"16","15",0,0,0,0,0,0,0,0,0.56988447596777,0,0.181983779750372,0.248131744281858
"17","16",0.137323106138125,0,0,0,0.270255885949149,0,0.552637560015394,0,0,0.0397834478973326,0,0
"18","17",0,0,0,0,0.248699947025186,0,0.312430997171183,0,0.438869055803631,0,0,0
"19","18",0.126375028298986,0,0.10643736686654,0,0,0,0,0,0.368192785657516,0,0.22002829926731,0.178966519909648
"20","19",0,0,0,0,0,0,0,0,0.461059896524616,0,0,0.538940103475384
"21","20",0.178329648249552,0.472407326512611,0,0,0,0,0.161066480798134,0,0.188196544439702,0,0,0
"22","21",0.107338469052135,0,0,0,0,0,0.643677090150845,0,0,0,0,0.24898444079702
"23","22",0,0,0,0,0,0,0.854079077147216,0,0,0,0,0.145920922852784
"24","23",0,0,0,0,0,0,0,0,0.881938959680253,0,0.118061040319747,0
"25","24",0,0,0,0,0,0,0,0,0.657897496657275,0,0,0.342102503342725
"26","25",0.172822997196937,0,0,0,0,0,0.440364184702571,0.205985007929787,0.180827810170705,0,0,0
"27","26",0,0,0,0.228446651863236,0,0,0.342307546947771,0,0.429245801188993,0,0,0
"28","27",0.125306148401248,0.146899620130413,0,0,0,0,0.72779423146834,0,0,0,0,0
"29","28",0,0,0,0,0,0,0,0,1,0,0,0
"30","29",0,0,0,0,0,0.204789197094711,0,0,0,0,0,0.795210802905289
"31","30",0.237939932395322,0,0,0,0,0,0,0,0,0.166976888677742,0.259076294315235,0.3360068846117
"32","31",0.153892818008808,0,0,0,0,0,0.283300673046946,0,0.290154826821775,0,0,0.272651682122471
"33","32",0,0,0,0,0,0,1,0,0,0,0,0
"34","33",0.214857869344183,0,0,0,0,0,0,0,0,0.218927414545844,0,0.566214716109973
"35","34",0,0,0,0,0,0,1,0,0,0,0,0
"36","35",0,0,0,0,0,0,0.679322316000987,0,0,0,0,0.320677683999013
"37","36",0.132638746697095,0,0,0,0,0,0.370149125047293,0,0,0,0,0.497212128255612
"38","37",0,0,0,0,0.181594286613841,0,0.229492124284785,0,0.475698611388017,0,0.113214977713357,0
"39","38",0,0,0,0.34313267403279,0,0,0.440470294213319,0,0.216397031753891,0,0,0
"40","39",0.21283235778347,0,0,0,0,0,0.190404459344958,0,0.403810368000028,0,0,0.192952814871544
"41","40",0,0.195867647237815,0,0,0,0,0.269394510701077,0,0.371887500795429,0,0,0.16285034126568
