"","cell_ID","T_reg","mono-mac","T_CD8","tumour_2","tumour_1","T_CD4","plasma","pDC","mDC","myeloid"
"1","0",0,0,0,0,1,0,0,0,0,0
"2","1",0,0.156039278541949,0.154232401375203,0.157563470373026,0.532164849709823,0,0,0,0,0
"3","2",0,0,0,0,0.727736725649051,0,0.272263274350949,0,0,0
"4","3",0,0.440572845385665,0.559427154614335,0,0,0,0,0,0,0
"5","4",0,0,0,1,0,0,0,0,0,0
"6","5",0,0,0.174050065599696,0.748251347818741,0,0,0,0,0.0776985865815628,0
"7","6",0,0,0,0.279264163003285,0.720735836996715,0,0,0,0,0
"8","7",0,0,1,0,0,0,0,0,0,0
"9","8",0,1,0,0,0,0,0,0,0,0
"10","9",0,0,0.107612636683418,0,0.892387363316582,0,0,0,0,0
"11","10",0,0,0,0,1,0,0,0,0,0
"12","11",0,0.342534471688654,0,0,0,0.274395105955387,0,0,0,0.383070422355959
"13","12",0,0,0.292394458777975,0.707605541222025,0,0,0,0,0,0
"14","13",0,0,0,1,0,0,0,0,0,0
"15","14",0,0,0,1,0,0,0,0,0,0
"16","15",0,0,1,0,0,0,0,0,0,0
"17","16",0,1,0,0,0,0,0,0,0,0
"18","17",0,0,0,0.770931413377531,0,0,0.229068586622469,0,0,0
"19","18",0,0,0,0,1,0,0,0,0,0
"20","19",0,0,1,0,0,0,0,0,0,0
"21","20",0,0,0.17867649754941,0,0.82132350245059,0,0,0,0,0
"22","21",0,1,0,0,0,0,0,0,0,0
"23","22",0,0,0,0,1,0,0,0,0,0
"24","23",0,0,0.158519052102465,0,0.841480947897535,0,0,0,0,0
"25","24",0,0,0,0,0.117461310734921,0,0.882538689265079,0,0,0
"26","25",0,0,1,0,0,0,0,0,0,0
"27","26",0,0,0.762004142431013,0.237995857568987,0,0,0,0,0,0
"28","27",0,0,0,1,0,0,0,0,0,0
"29","28",0,0,0,0.508475225444869,0,0,0,0,0.491524774555131,0
"30","29",0,0.191931169358797,0,0,0.808068830641203,0,0,0,0,0
"31","30",0,0,0.250430075540396,0.0541928182922191,0.695377106167385,0,0,0,0,0
"32","31",0,0,0.383943575648935,0,0.616056424351065,0,0,0,0,0
"33","32",0,0.233965455118114,0.240512261100272,0,0.525522283781614,0,0,0,0,0
"34","33",0,0.27316762827917,0,0.174811422345723,0.552020949375107,0,0,0,0,0
"35","34",0,0.380118819609029,0,0,0.619881180390971,0,0,0,0,0
"36","35",0,0,0,0.145583558985631,0.854416441014369,0,0,0,0,0
"37","36",0.18706695681515,0,0.239444939489585,0,0,0,0.573488103695265,0,0,0
"38","37",0,0,0.75143226240786,0.24856773759214,0,0,0,0,0,0
"39","38",0,0.44547289267133,0.55452710732867,0,0,0,0,0,0,0
"40","39",0,0,0.54959204760604,0.45040795239396,0,0,0,0,0,0
"41","40",0,0,1,0,0,0,0,0,0,0
"42","41",0.0359930421903576,0,0.964006957809643,0,0,0,0,0,0,0
"43","42",0,0,0.16593530595344,0.83406469404656,0,0,0,0,0,0
"44","43",0,0,0.564101711454194,0,0,0,0,0,0.435898288545806,0
"45","44",0,0,0,1,0,0,0,0,0,0
