"","cell_ID","Ventricular Cardiomyocyte","Fibroblast","Myeloid","Endothelial cell","Neural cell","Lymphatic Endothelial cell","Mural cell","Lymphoid","Mast cell","Adipocyte","Atrial Cardiomyocyte","Mesothelial cell"
"1","0",0.129590263915811,0,0,0,0,0,0.772898488287345,0,0,0,0.0975112477968445,0
"2","1",0,0,0,0,0,0,0,0,0.712389335854229,0.120368320349296,0.167242343796475,0
"3","2",0.181708912575962,0,0,0,0,0,0,0,0,0,0.125517635271697,0.692773452152341
"4","3",0,0,0,0,0,0,0,0,0,0.58142019451257,0,0.41857980548743
"5","4",0.205322722856908,0,0,0,0,0,0,0,0,0.279254080787693,0,0.5154231963554
"6","5",0.105436160506773,0.167823500523679,0,0,0,0,0.533541910731858,0,0,0,0,0.19319842823769
"7","6",0,0.299169215597788,0,0,0,0,0,0,0.453633672426857,0,0.247197111975355,0
"8","7",0,0.354234508053232,0,0,0,0,0,0,0,0,0.298589462222841,0.347176029723927
"9","8",0,0,0,0,0,0,1,0,0,0,0,0
"10","9",0,0,0.156792856714329,0,0,0,0,0,0.278134618599388,0,0,0.565072524686282
"11","10",0.243543795558344,0,0,0,0,0,0.579891500245502,0,0,0,0.176564704196155,0
"12","11",0,0,0,0,0,0,0,0,0,0.274810130357864,0.310474942817529,0.414714926824607
"13","12",0,0,0.329157873027543,0,0,0,0,0,0.670842126972457,0,0,0
"14","13",0,0,0.486266764882674,0,0,0,0,0,0.180834685232354,0,0,0.332898549884971
"15","14",0,0,0,0,0,0,0.467056174024539,0,0.289391059186549,0,0.243552766788912,0
"16","15",0,0,0,0,0,0,0,0,0.236867747113862,0.201699481371451,0.352430488215106,0.209002283299581
"17","16",0,0.170938118572939,0,0,0,0,0.61478756903423,0,0,0,0.214274312392831,0
"18","17",0,0.273162135898203,0,0,0,0,0.248490741683695,0,0.263243593710465,0,0.215103528707637,0
"19","18",0,0,0,0,0,0,0,0,0.141323966443788,0.0776460074750238,0.527278287295826,0.253751738785363
"20","19",0.10255537956118,0.180377913462658,0,0,0,0,0,0,0.291944610256463,0.089213273025184,0,0.335908823694515
"21","20",0.279098855270875,0.720901144729125,0,0,0,0,0,0,0,0,0,0
"22","21",0.182156851285893,0,0,0,0,0,0.700004966616992,0,0,0.117838182097114,0,0
"23","22",0.176300620493064,0,0,0,0,0,0.823699379506936,0,0,0,0,0
"24","23",0.159289788073881,0,0,0,0,0,0,0,0.690607723432553,0,0.150102488493566,0
"25","24",0,0,0.199276761976121,0,0,0,0,0,0.479858985700875,0,0,0.320864252323004
"26","25",0.230176672093633,0.131001015957827,0,0,0,0,0.571112874027895,0,0,0,0.0677094379206459,0
"27","26",0,0.292932975157881,0,0,0,0,0.0984694842357313,0,0.277072928643732,0.162947731059711,0.168576880902945,0
"28","27",0.275118617184067,0,0,0,0,0,0.724881382815933,0,0,0,0,0
"29","28",0,0,0,0,0,0,0,0,0.933972831596031,0,0.066027168403969,0
"30","29",0,0,0,0,0,0,0,0,0,0.44526671110235,0,0.55473328889765
"31","30",0.160794303361183,0,0,0,0,0,0,0,0,0.344126785203832,0.495078911434985,0
"32","31",0.278021223692637,0.350591179593561,0,0,0,0,0,0,0.371387596713802,0,0,0
"33","32",0,0.0732749860476067,0,0,0,0,0.693193408103873,0,0,0,0.233531605848521,0
"34","33",0,0.469670910194349,0,0,0,0,0,0,0,0,0,0.530329089805651
"35","34",0.136149507096029,0,0,0,0,0,0.863850492903971,0,0,0,0,0
"36","35",0,0,0,0,0,0,0.540066239667796,0,0,0,0.169608295678031,0.290325464654173
"37","36",0,0,0,0,0,0,0.0758911320179465,0,0,0,0.644720304078284,0.279388563903769
